accuracy,precision,recall,f1,tn,fp,fn,tp,threshold,roc_auc_score,auc,observed,expected,oe_ratio,brier_score,log_loss,ece,calibration_intercept,calibration_slope,model,imputation,best_cv_auc
0.8666666666666667,0.5161290322580645,0.7619047619047619,0.6153846153846154,114,15,5,16,0.5,0.8977482465854558,0.8977482465854558,21,45.11885906765382,0.4654373012515983,0.10735983379888249,0.3566064033768304,0.1607923937843588,-1.5884961798222657,1.1284114273329795,LightGBM_tuned,7,0.9005007612005219
0.86,0.5,0.6666666666666666,0.5714285714285714,115,14,7,14,0.5,0.8899963086009597,0.8899963086009597,21,45.09196460364748,0.4657149047416158,0.1128371694230083,0.37253518926892953,0.1606130973576499,-1.5133776735349551,1.0508983116448332,LightGBM_tuned,8,0.892325902566333
0.88,0.5517241379310345,0.7619047619047619,0.64,116,13,5,16,0.5,0.9091915836101883,0.9091915836101883,21,42.83321057288107,0.49027377866686694,0.10033057127318924,0.33719079007845815,0.14555473715254044,-1.4078268540158727,1.170301459248701,LightGBM_tuned,9,0.9089712918660287
0.86,0.5,0.7142857142857143,0.5882352941176471,114,15,6,15,0.5,0.91140642303433,0.91140642303433,21,44.023652031803394,0.4770163089793019,0.10227361863104077,0.34607484563624447,0.15349101354535602,-1.518581401761089,1.1263539106082967,LightGBM_tuned,10,0.8955529759315646
0.88,0.56,0.6666666666666666,0.6086956521739131,118,11,7,14,0.5,0.8922111480251015,0.8922111480251015,21,32.74475075514344,0.6413241669491525,0.08256027893360922,0.2792743293508889,0.07829833836762293,-0.7802115421493623,1.1496301738172168,RandomForest_tuned,1,0.9020601167174134
0.8866666666666667,0.5666666666666667,0.8095238095238095,0.6666666666666666,116,13,4,17,0.5,0.896640826873385,0.896640826873385,21,39.20914018571509,0.5355894034027006,0.0914465101337404,0.30888242353434087,0.12139426790476732,-1.1786852230988323,1.238415742043062,RandomForest_tuned,2,0.9037744671596346
0.8866666666666667,0.5833333333333334,0.6666666666666666,0.6222222222222222,119,10,7,14,0.5,0.875968992248062,0.875968992248062,21,30.963552982619053,0.6782167412049919,0.08151200448957129,0.27754288872993377,0.0664236865507937,-0.7606549692356226,1.0093955305521476,RandomForest_tuned,3,0.9092157097288677
0.8733333333333333,0.55,0.5238095238095238,0.5365853658536586,120,9,10,11,0.5,0.8863049095607235,0.8863049095607235,21,28.205088250450732,0.7445465092513727,0.07758267811762373,0.2646950373403889,0.05601917591978692,-0.44908284877544774,1.1286914169124629,RandomForest_tuned,4,0.9091562635928664
0.8866666666666667,0.5714285714285714,0.7619047619047619,0.6530612244897959,117,12,5,16,0.5,0.8999630860095976,0.8999630860095976,21,43.525431359124816,0.4824765509325042,0.10324198853949715,0.34945325089084067,0.15016954239416547,-1.2079326427040376,1.3597525499655232,RandomForest_tuned,5,0.900164636798608
0.8933333333333333,0.6086956521739131,0.6666666666666666,0.6363636363636364,120,9,7,14,0.5,0.887781469176818,0.887781469176818,21,33.02976788548524,0.6357901173513344,0.08137962639450665,0.28081267738706556,0.08019845256990166,-0.836765638540107,1.1094050201477783,RandomForest_tuned,6,0.9109396476729013
0.8933333333333333,0.6086956521739131,0.6666666666666666,0.6363636363636364,120,9,7,14,0.5,0.8870431893687708,0.8870431893687708,21,29.206716198303504,0.7190127043868013,0.07915616439618427,0.26968247271198564,0.05471144132202334,-0.5973062843032728,1.0530466373982985,RandomForest_tuned,7,0.9154336305640133
0.8733333333333333,0.55,0.5238095238095238,0.5365853658536586,120,9,10,11,0.5,0.8567737172388334,0.8567737172388334,21,28.434107521118722,0.7385496444508686,0.08489738729723136,0.2887878375099778,0.05895341118860892,-0.5457641098727471,0.9990715120549083,RandomForest_tuned,8,0.9039053936494128
0.8933333333333333,0.6086956521739131,0.6666666666666666,0.6363636363636364,120,9,7,14,0.5,0.899593946105574,0.899593946105574,21,33.33778519104126,0.6299158711252135,0.0796995098134919,0.27488791185211486,0.08328005757067089,-0.78145279413781,1.2260691867107687,RandomForest_tuned,9,0.9105989923154993
0.88,0.56,0.6666666666666666,0.6086956521739131,118,11,7,14,0.5,0.8903654485049834,0.8903654485049834,21,33.24046496603161,0.6317601159147405,0.08406985444744591,0.2822318224077562,0.08160309977354403,-0.848953640377046,1.1022478315631365,RandomForest_tuned,10,0.9053082862113963
0.9,0.6666666666666666,0.5714285714285714,0.6153846153846154,123,6,9,12,0.5,0.9097452934662236,0.9097452934662236,21,23.150009334815614,0.9071270640231585,0.07672755073826715,0.2572551700167327,0.03922322708558001,-0.1335103974902099,1.0511455011150868,SVC_tuned,1,0.8999768740031898
0.9333333333333333,0.8235294117647058,0.6666666666666666,0.7368421052631579,126,3,7,14,0.5,0.9150978220745662,0.9150978220745662,21,21.68320013088207,0.9684917296912724,0.06735124566283798,0.2342082878690788,0.031193380116629633,0.09929634810239801,1.1705679776958517,SVC_tuned,2,0.8927535522691026
0.9266666666666666,0.7777777777777778,0.6666666666666666,0.717948717948718,125,4,7,14,0.5,0.9195275009228498,0.9195275009228498,21,22.435435864627205,0.9360192566220483,0.0669835716943121,0.23096684386971708,0.024933471152748972,-0.03748231042879846,1.1052426860600544,SVC_tuned,3,0.8964787951283167
0.9133333333333333,0.7,0.6666666666666666,0.6829268292682927,123,6,7,14,0.5,0.9106681432262828,0.9106681432262828,21,22.82667553803615,0.9199762779738839,0.0721167225858122,0.24753111154868898,0.05128391078188479,-0.08401889650055788,1.0864005114401456,SVC_tuned,4,0.9040565463244888
0.88,0.5789473684210527,0.5238095238095238,0.55,121,8,10,11,0.5,0.8995939461055741,0.8995939461055741,21,23.360734649614702,0.8989443318019265,0.08110527143664133,0.2720461062578887,0.05302843348180497,-0.21395567550173047,0.9645596660625048,SVC_tuned,5,0.8895054733942294
0.9133333333333333,0.7,0.6666666666666666,0.6829268292682927,123,6,7,14,0.5,0.9139904023624954,0.9139904023624954,21,23.157031215941537,0.9068519968804717,0.0722208534634008,0.24798455033531705,0.0459094108854166,-0.12086770522889402,1.0783856107472405,SVC_tuned,6,0.8936803320284181
0.8866666666666667,0.6,0.5714285714285714,0.5853658536585366,121,8,9,12,0.5,0.9132521225544481,0.9132521225544481,21,23.241555918724828,0.9035539648651968,0.07449023798512186,0.2508749117513261,0.043620438775552106,-0.14653619042438035,1.052198284251602,SVC_tuned,7,0.9033724445411048
0.8866666666666667,0.6111111111111112,0.5238095238095238,0.5641025641025641,122,7,10,11,0.5,0.8911037283130306,0.8911037283130306,21,23.202188065613896,0.9050870521613613,0.08306985995246026,0.27904136583740513,0.04907571102265405,-0.24064676851107428,0.9178909420502732,SVC_tuned,8,0.8980492243004203
0.9,0.6666666666666666,0.5714285714285714,0.6153846153846154,123,6,9,12,0.5,0.9091915836101883,0.9091915836101883,21,22.900185140525487,0.9170231537926385,0.07219319834807496,0.2474098122328373,0.04556333840683694,-0.12917149456959195,1.0407930646227448,SVC_tuned,9,0.9057680150790197
